episode,winner,p1_score,p2_score,score_diff,length,reward_p1,reward_p2
69,-1,-60.0,43.0,103.0,53,-0.9321725019567526,0.9321725019567526
70,1,-34.0,-136.0,102.0,64,0.9309599607726701,-0.9309599607726701
71,1,125.0,9.0,116.0,35,0.9463119643998631,-0.9463119643998631
72,-1,-6.0,17.0,23.0,66,-0.7678085056836013,0.7678085056836013
73,1,41.0,-43.0,84.0,118,0.9057427186687284,-0.9057427186687284
74,1,8.0,-45.0,53.0,54,0.8456143271816114,-0.8456143271816114
75,-1,-107.0,-34.0,73.0,59,-0.8869196048717083,0.8869196048717083
76,1,-2.0,-137.0,135.0,52,0.9622159863658021,-0.9622159863658021
77,1,234.0,-58.0,292.0,48,0.9982597565189295,-0.9982597565189295
78,-1,6.0,9.0,3.0,39,-0.708997300971646,0.708997300971646
79,-1,-2.0,34.0,36.0,41,-0.8035642102406563,0.8035642102406563
80,-1,-16.0,165.0,181.0,38,-0.9843495549121702,0.9843495549121702
81,1,145.0,-13.0,158.0,57,0.9755805678571201,-0.9755805678571201
82,-1,43.0,53.0,10.0,67,-0.7299003983874867,0.7299003983874867
83,1,11.0,2.0,9.0,69,0.726927335424148,-0.726927335424148
84,1,110.0,8.0,102.0,41,0.9309599607726701,-0.9309599607726701
85,-1,-90.0,32.0,122.0,61,-0.9518962526963126,0.9518962526963126
86,-1,-41.0,-2.0,39.0,82,-0.8114080683629523,0.8114080683629523
87,1,-81.0,-86.0,5.0,45,0.7149875124873639,-0.7149875124873639
88,1,-19.0,-29.0,10.0,42,0.7299003983874867,-0.7299003983874867
89,-1,4.0,17.0,13.0,45,-0.7387817750818174,0.7387817750818174
90,-1,-167.0,60.0,227.0,48,-0.9936635871780262,0.9936635871780262
91,1,166.0,31.0,135.0,64,0.9622159863658021,-0.9622159863658021
92,1,166.0,51.0,115.0,1134,0.9453262233910863,-0.9453262233910863
93,1,-67.0,-94.0,27.0,64,0.779087450641661,-0.779087450641661
94,-1,-27.0,40.0,67.0,48,-0.8754939648642186,0.8754939648642186
95,-1,5.0,103.0,98.0,44,-0.9259197714608656,0.9259197714608656
96,1,14.0,-213.0,227.0,55,0.9936635871780262,-0.9936635871780262
97,1,-22.0,-83.0,61.0,60,0.8632381296560703,-0.8632381296560703
98,1,44.0,32.0,12.0,48,0.7358281895603157,-0.7358281895603157
99,1,6.0,-72.0,78.0,40,0.895812011788597,-0.895812011788597
100,1,-8.0,-186.0,178.0,38,0.983408546606306,-0.983408546606306
101,-1,-50.0,37.0,87.0,39,-0.9104122392814937,0.9104122392814937
102,-1,-16.0,-2.0,14.0,44,-0.7417277343635373,0.7417277343635373
103,-1,-16.0,16.0,32.0,42,-0.7928520763637915,0.7928520763637915
104,-1,-44.0,19.0,63.0,47,-0.8674156646678872,0.8674156646678872
105,-1,-26.0,-12.0,14.0,43,-0.7417277343635373,0.7417277343635373
106,-1,-17.0,52.0,69.0,48,-0.8793946001496824,0.8793946001496824
107,1,24.0,21.0,3.0,64,0.708997300971646,-0.708997300971646
108,1,71.0,-24.0,95.0,47,0.9219349153822013,-0.9219349153822013
109,-1,-65.0,97.0,162.0,50,-0.9773872656948365,0.9773872656948365
110,1,92.0,1.0,91.0,52,0.9163396762230099,-0.9163396762230099
111,1,-25.0,-53.0,28.0,38,0.7818715241689398,-0.7818715241689398
112,1,13.0,-23.0,36.0,52,0.8035642102406563,-0.8035642102406563
113,1,-11.0,-84.0,73.0,50,0.8869196048717083,-0.8869196048717083
114,1,85.0,10.0,75.0,55,0.8905446857161862,-0.8905446857161862
115,1,92.0,-156.0,248.0,48,0.9958215464933428,-0.9958215464933428
116,1,-3.0,-89.0,86.0,52,0.9088773018060043,-0.9088773018060043
117,1,157.0,40.0,117.0,39,0.9472816511024192,-0.9472816511024192
118,-1,-16.0,-15.0,1.0,78,-0.7029999000039998,0.7029999000039998
119,1,32.0,-108.0,140.0,79,0.9656054944606787,-0.9656054944606787
120,-1,-8.0,70.0,78.0,64,-0.895812011788597,0.895812011788597
121,-1,-59.0,-12.0,47.0,1364,-0.8314597944498303,0.8314597944498303
122,-1,-72.0,-19.0,53.0,55,-0.8456143271816114,0.8456143271816114
123,-1,-110.0,-108.0,2.0,48,-0.7059992001279792,0.7059992001279792
124,1,15.0,-43.0,58.0,45,0.8567996289057462,-0.8567996289057462
125,1,64.0,-8.0,72.0,45,0.8850727908631195,-0.8850727908631195
126,-1,-23.0,2.0,25.0,44,-0.7734755987211127,0.7734755987211127
127,1,4.0,-104.0,108.0,65,0.9379597291250503,-0.9379597291250503
128,-1,-113.0,-34.0,79.0,59,-0.8975227107865753,0.8975227107865753
129,-1,-50.0,-28.0,22.0,45,-0.7649554184479086,0.7649554184479086
130,1,34.0,15.0,19.0,48,0.7563238617604856,-0.7563238617604856
131,-1,-37.0,16.0,53.0,59,-0.8456143271816114,0.8456143271816114
132,1,31.0,-178.0,209.0,60,0.9909592061136443,-0.9909592061136443
133,1,34.0,15.0,19.0,67,0.7563238617604856,-0.7563238617604856
134,-1,-138.0,-84.0,54.0,58,-0.8478963900025973,0.8478963900025973
135,-1,-18.0,47.0,65.0,59,-0.8715009898255351,0.8715009898255351
136,-1,19.0,74.0,55.0,57,-0.8501560633570706,0.8501560633570706
137,-1,20.0,26.0,6.0,54,-0.717978431058743,0.717978431058743
138,-1,20.0,31.0,11.0,59,-0.7328675410643288,0.7328675410643288
139,1,-22.0,-149.0,127.0,44,0.9561392959465731,-0.9561392959465731
140,1,23.0,-53.0,76.0,54,0.8923230883556039,-0.8923230883556039
141,-1,-85.0,-52.0,33.0,46,-0.7955562330708312,0.7955562330708312
142,-1,-29.0,187.0,216.0,69,-0.9921248089977384,0.9921248089977384
143,-1,-5.0,48.0,53.0,49,-0.8456143271816114,0.8456143271816114
144,1,14.0,-82.0,96.0,50,0.9232830602085511,-0.9232830602085511
145,1,46.0,3.0,43.0,43,0.8215963926068388,-0.8215963926068388
146,1,-29.0,-54.0,25.0,51,0.7734755987211127,-0.7734755987211127
147,-1,-43.0,58.0,101.0,50,-0.9297286054745317,0.9297286054745317
148,-1,30.0,71.0,41.0,39,-0.8165418040648182,0.8165418040648182
149,1,-28.0,-110.0,82.0,46,0.9025209624515823,-0.9025209624515823
150,1,69.0,44.0,25.0,57,0.7734755987211127,-0.7734755987211127
151,1,-4.0,-104.0,100.0,54,0.9284782467867294,-0.9284782467867294
152,1,67.0,-127.0,194.0,55,0.9878602017425288,-0.9878602017425288
153,-1,33.0,35.0,2.0,57,-0.7059992001279792,0.7059992001279792
154,-1,-60.0,20.0,80.0,39,-0.8992110310803547,0.8992110310803547
155,1,-35.0,-84.0,49.0,72,0.8362649298046777,-0.8362649298046777
156,-1,-79.0,39.0,118.0,47,-0.94823548330245,0.94823548330245
157,1,-15.0,-76.0,61.0,34,0.8632381296560703,-0.8632381296560703
158,1,85.0,-81.0,166.0,84,0.9790651548809579,-0.9790651548809579
159,1,116.0,12.0,104.0,62,0.9333664199731555,-0.9333664199731555
160,-1,-97.0,-36.0,61.0,68,-0.8632381296560703,0.8632381296560703
161,-1,-25.0,262.0,287.0,112,-0.9980773200054659,0.9980773200054659
162,1,108.0,-29.0,137.0,46,0.9636076580106088,-0.9636076580106088
163,-1,3.0,56.0,53.0,48,-0.8456143271816114,0.8456143271816114
164,1,22.0,-118.0,140.0,64,0.9656054944606787,-0.9656054944606787
165,1,37.0,-50.0,87.0,52,0.9104122392814937,-0.9104122392814937
166,-1,-41.0,-29.0,12.0,39,-0.7358281895603157,0.7358281895603157
167,-1,-92.0,32.0,124.0,47,-0.9536366787180041,0.9536366787180041
168,1,-15.0,-30.0,15.0,300,0.7446655100869953,-0.7446655100869953
169,-1,0.0,118.0,118.0,44,-0.94823548330245,0.94823548330245
170,-1,-28.0,48.0,76.0,38,-0.8923230883556039,0.8923230883556039
171,1,-56.0,-57.0,1.0,46,0.7029999000039998,-0.7029999000039998
172,-1,-110.0,-99.0,11.0,53,-0.7328675410643288,0.7328675410643288
173,1,101.0,6.0,95.0,42,0.9219349153822013,-0.9219349153822013
174,-1,-62.0,-28.0,34.0,54,-0.7982432184426116,0.7982432184426116
175,1,26.0,-125.0,151.0,48,0.9720817152911612,-0.9720817152911612
176,-1,28.0,35.0,7.0,174,-0.7209657670949287,0.7209657670949287
177,-1,-51.0,18.0,69.0,45,-0.8793946001496824,0.8793946001496824
178,-1,35.0,52.0,17.0,49,-0.7505143137612443,0.7505143137612443
179,-1,14.0,102.0,88.0,45,-0.9119257961191706,0.9119257961191706
180,-1,168.0,319.0,151.0,64,-0.9720817152911612,0.9720817152911612
181,-1,-109.0,-7.0,102.0,62,-0.9309599607726701,0.9309599607726701
182,-1,-116.0,4.0,120.0,43,-0.9500963821036466,0.9500963821036466
183,-1,-132.0,33.0,165.0,47,-0.9786572864364183,0.9786572864364183
184,-1,-89.0,-88.0,1.0,47,-0.7029999000039998,0.7029999000039998
185,-1,-2.0,71.0,73.0,38,-0.8869196048717083,0.8869196048717083
186,-1,85.0,191.0,106.0,36,-0.9356991577080831,0.9356991577080831
187,-1,-6.0,45.0,51.0,57,-0.8409835596799112,0.8409835596799112
188,1,-125.0,-167.0,42.0,38,0.8190791296015232,-0.8190791296015232
189,-1,-201.0,-61.0,140.0,63,-0.9656054944606787,0.9656054944606787
190,1,88.0,36.0,52.0,44,0.8433100036505494,-0.8433100036505494
191,1,210.0,117.0,93.0,58,0.9191781688287831,-0.9191781688287831
192,-1,-13.0,60.0,73.0,44,-0.8869196048717083,0.8869196048717083
193,-1,-1.0,34.0,35.0,66,-0.8009126633008996,0.8009126633008996
194,-1,-5.0,30.0,35.0,47,-0.8009126633008996,0.8009126633008996
195,-1,-47.0,-15.0,32.0,42,-0.7928520763637915,0.7928520763637915
196,-1,-12.0,81.0,93.0,51,-0.9191781688287831,0.9191781688287831
197,1,2.0,-80.0,82.0,50,0.9025209624515823,-0.9025209624515823
198,-1,-2.0,10.0,12.0,53,-0.7358281895603157,0.7358281895603157
199,-1,-89.0,36.0,125.0,49,-0.9544850919872538,0.9544850919872538
200,-1,-32.0,79.0,111.0,44,-0.9412187174214677,0.9412187174214677
